timestamp,vm_id,cpu_usage,memory_usage,disk_io_mb,energy_wh,carbon_g_per_kwh,region,is_renewable,sustainability_score
2025-11-01 00:00:00,39,0.9370072325718809,0.7683345632435303,636.9924764502834,234.15992901342048,636.1846656038608,US-Coal,1,0.39309016423403176
2025-11-01 01:00:00,29,0.057157644977371004,0.5883992749701016,603.2184279427058,126.32592596754122,739.6828786005042,EU-Green,1,0.4611299779263507
2025-11-01 02:00:00,15,0.2640661578269018,0.5815890578457058,28.75093993724267,304.42441855248336,712.868907974391,US-Coal,1,0.2718896278774867
2025-11-01 03:00:00,43,0.39708897869035475,0.43238634859944824,315.7874830758625,327.7988867472553,713.6262685654368,US-Coal,0,0.04477202429204668
2025-11-01 04:00:00,8,0.513419310768301,0.5259800493047082,744.6458378531919,348.8834710405072,421.2230541659118,EU-Green,0,0.17662373754141028
2025-11-01 05:00:00,21,0.858276641944339,0.4376019608148294,100.57941519378097,286.7622947524578,457.834434278735,US-Coal,1,0.4280932981913896
2025-11-01 06:00:00,39,0.13349324331313667,0.5587727259459514,589.6772403456409,273.6575618326814,588.0994680029398,US-Coal,1,0.37359545116108195
2025-11-01 07:00:00,19,0.8155716424040863,0.6337575448567404,779.6734490682637,106.80523524894082,707.2055604282064,US-Coal,1,0.5007605751061671
2025-11-01 08:00:00,23,0.10287081488912657,0.6731582354476912,41.75890323597731,144.1621882869337,278.09684264364654,US-Coal,0,0.4869248973097501
2025-11-01 09:00:00,11,0.8501983335332726,0.5526090136755122,545.7551045012883,184.36158794630666,367.33302510495764,Asia-Mix,0,0.39339009562443406
2025-11-01 10:00:00,11,0.0990537039807872,0.7132087572294219,374.5233130408243,279.7481248124974,276.5857645267602,US-Coal,1,0.5327754496095405
2025-11-01 11:00:00,24,0.067330357356943,0.22008634188417991,463.3402042997777,323.63941817417026,536.6046914777005,US-Coal,1,0.3439372104414128
2025-11-01 12:00:00,36,0.7121133892481005,0.28018511726690276,68.27306918745988,98.63312100712523,368.46554828814567,EU-Green,1,0.690761474047703
2025-11-01 13:00:00,40,0.9973927580299746,0.7959247534631295,34.40556149355159,325.9339202477319,379.35931888191544,Asia-Mix,0,0.22517912107509439
2025-11-01 14:00:00,24,0.9017797498253197,0.37414878116945294,533.4933284407374,255.64364222975797,239.0037777183886,EU-Green,1,0.5803671560018979
2025-11-01 15:00:00,3,0.597198496915377,0.11945975122970222,658.6475438565743,229.33892651236198,392.3878339941756,EU-Green,0,0.32862485823659743
2025-11-01 16:00:00,22,0.9215258324312551,0.23072247721782643,625.6122679463738,101.95079409740126,674.3730790708719,EU-Green,0,0.3238191645746955
2025-11-01 17:00:00,2,0.05503500607772515,0.2900722693218646,435.0445822929899,57.212760170836674,328.1900465399592,Asia-Mix,1,0.7595792968882085
2025-11-01 18:00:00,24,0.9763138047978854,0.9137244547103991,79.89345690894254,216.22411853746138,582.3531064155361,EU-Green,0,0.24229839824985344
2025-11-01 19:00:00,44,0.5162113402958453,0.5870852145912219,550.435555068811,241.96986183195665,546.295589716226,EU-Green,0,0.23210536720053854
2025-11-01 20:00:00,30,0.7367512917906869,0.8928211294048165,193.51110684331675,105.34224929995335,674.9165346030134,EU-Green,1,0.5196533728213034
2025-11-01 21:00:00,38,0.8298183994956849,0.5888888479221311,728.8549622139069,212.50142380589148,272.758371208071,US-Coal,1,0.6116700986251529
2025-11-01 22:00:00,2,0.732534407294726,0.5074512741171741,670.6122876365639,305.5129548563978,737.6744781897737,EU-Green,1,0.2574159489390946
2025-11-01 23:00:00,21,0.558284895442665,0.36666853751498163,567.5063736699127,298.8704430910562,520.4457553222011,Asia-Mix,1,0.38086270981933334
2025-11-02 00:00:00,33,0.5027885099200914,0.6154153027683692,759.0767646649043,327.4801059817521,747.510783790748,Asia-Mix,0,0.02706460371340822
2025-11-02 01:00:00,12,0.8466534307674936,0.21831832092490036,25.137457209018343,153.42460096263295,701.3330992262179,US-Coal,0,0.25061327931253186
